nba_id,Team,Player,DPM_rank,EPM_rank,LEBRON_rank,consensus_rank,salary,cap_pct,Callouts,Unsigned
1641726,Dallas Mavericks,Dereck Lively II,98,49,168,105,5014560,0.0357,,
202699,Detroit Pistons,Tobias Harris,94,156,66,105.3333333,25365854,0.1804,,
201143,Boston Celtics,Al Horford,148,88,84,106.6666667,9500000,0.0676,Y,Y
1630591,Orlando Magic,Jalen Suggs,71,77,172,106.6666667,9188385,0.0654,,
1631165,Sacramento Kings,Keon Ellis,96,159,69,108,2120693,0.0151,,
1630583,Memphis Grizzlies,Santi Aldama,162,94,71,109,3960531,0.0282,Y,
1628449,Toronto Raptors,Chris Boucher,54,95,182,110.3333333,10810000,0.0769,,
1629631,Cleveland Cavaliers,De'Andre Hunter,112,96,126,111.3333333,21696429,0.1543,,
1630193,Toronto Raptors,Immanuel Quickley,118,55,162,111.6666667,32500000,0.2312,,
1628978,Minnesota Timberwolves,Donte DiVincenzo,137,110,89,112,11445000,0.0814,,
201144,Minnesota Timberwolves,Mike Conley,178,82,77,112.3333333,9975962,0.0710,,
1641739,Portland Trail Blazers,Toumani Camara,122,99,118,113,1891857,0.0135,,
1626172,Golden State Warriors,Kevon Looney,105,111,130,115.3333333,8000000,0.0569,,
1628374,Utah Jazz,Lauri Markkanen,99,85,169,117.6666667,42176400,0.3000,,
1630188,Chicago Bulls,Jalen Smith,100,132,122,118,8571429,0.0610,,
1641764,Golden State Warriors,Brandin Podziemski,174,91,90,118.3333333,3519960,0.0250,,
1628976,Orlando Magic,Wendell Carter Jr.,136,105,120,120.3333333,11950000,0.0850,,
1627884,Los Angeles Clippers,Derrick Jones Jr.,90,144,129,121,9523810,0.0677,,
1630224,Houston Rockets,Jalen Green,134,172,59,121.6666667,12483048,0.0888,,
101108,San Antonio Spurs,Chris Paul,167,118,81,122,10460000,0.0744,,
1630174,Indiana Pacers,Aaron Nesmith,81,68,219,122.6666667,11000000,0.0782,,
1628366,Chicago Bulls,Lonzo Ball,68,106,197,123.6666667,21395348,0.1522,,
1628969,New York Knicks,Mikal Bridges,208,92,76,125.3333333,23300000,0.1657,,
1627827,Los Angeles Lakers,Dorian Finney-Smith,88,58,240,128.6666667,14924168,0.1062,,
202331,Philadelphia 76ers,Paul George,47,152,188,129,49205800,0.3500,,
1631119,Oklahoma City Thunder,Jaylin Williams,160,72,158,130,2019699,0.0144,,
1631099,Sacramento Kings,Keegan Murray,158,142,92,130.6666667,8809560,0.0627,,
1629026,Oklahoma City Thunder,Kenrich Williams,73,125,194,130.6666667,6669000,0.0474,,
1630241,Cleveland Cavaliers,Sam Merrill,144,126,132,134,2164993,0.0154,,
1630573,Boston Celtics,Sam Hauser,124,176,108,136,2092344,0.0149,,
203897,Sacramento Kings,Zach LaVine,182,123,104,136.3333333,44531940,0.3168,,
1628970,Charlotte Hornets,Miles Bridges,194,89,136,139.6666667,27173913,0.1933,,
1641717,Oklahoma City Thunder,Cason Wallace,173,174,74,140.3333333,5555880,0.0395,,
1630540,New York Knicks,Miles McBride,219,83,128,143.3333333,4710144,0.0335,,
1627780,Golden State Warriors,Gary Payton II,154,76,210,146.6666667,9130000,0.0649,,
1630549,Brooklyn Nets,Day'Ron Sharpe,91,188,166,148.3333333,3989122,0.0284,,
1629632,Chicago Bulls,Coby White,169,192,86,149,12000000,0.0854,,
1628381,Utah Jazz,John Collins,161,102,185,149.3333333,26580000,0.1891,,
1629006,Charlotte Hornets,Josh Okogie,58,162,228,149.3333333,8250000,0.0587,,
1629731,Cleveland Cavaliers,Dean Wade,128,167,157,150.6666667,6166667,0.0439,,
1630541,Golden State Warriors,Moses Moody,179,134,139,150.6666667,5803269,0.0413,,
1626171,Milwaukee Bucks,Bobby Portis,159,160,134,151,12578286,0.0895,,
1627747,Atlanta Hawks,Caris LeVert,214,129,112,151.6666667,16615384,0.1182,,
1629023,Dallas Mavericks,P.J. Washington,120,191,144,151.6666667,15500000,0.1103,,
1629614,Indiana Pacers,Andrew Nembhard,180,133,142,151.6666667,2019699,0.0144,,
1628370,Sacramento Kings,Malik Monk,206,184,70,153.3333333,17405202,0.1238,,
1629622,Cleveland Cavaliers,Max Strus,130,173,159,154,15212068,0.1082,,
1629638,Minnesota Timberwolves,Nickeil Alexander-Walker,156,185,121,154,4312500,0.0307,,
1626166,New York Knicks,Cameron Payne,225,84,155,154.6666667,2087519,0.0148,,
1628415,Houston Rockets,Dillon Brooks,197,112,156,155,22255493,0.1583,,
1629060,Los Angeles Lakers,Rui Hachimura,181,138,146,155,17000000,0.1209,,
1641744,Memphis Grizzlies,Zach Edey,222,127,116,155,5756880,0.0409,,
1626156,Brooklyn Nets,D'Angelo Russell,170,203,101,158,18692307,0.1330,,
203952,Miami Heat,Andrew Wiggins,266,109,107,160.6666667,26276786,0.1869,,
203484,Orlando Magic,Kentavious Caldwell-Pope,64,229,190,161,22757000,0.1619,,
203114,Washington Wizards,Khris Middleton,157,128,204,163,31666676,0.2252,,
