RK,NAME,TEAM,SALARY
180,Zeke Nnaji,Denver Nuggets,8888889
181,Keegan Murray,Sacramento Kings,8809560
182,Kyle Anderson,Miami Heat,8780488
183,Buddy Hield,Golden State Warriors,8780488
184,Naji Marshall,Dallas Mavericks,8571429
185,Jalen Smith,Chicago Bulls,8571429
186,Georges Niang,Atlanta Hawks,8500000
187,Ausar Thompson,Detroit Pistons,8376000
188,Josh Giddey,Chicago Bulls,8352367
189,Josh Okogie,Charlotte Hornets,8250000
190,Ronald Holland II,Detroit Pistons,8245320
191,Caleb Martin,Dallas Mavericks,8149001
192,Cody Martin,Phoenix Suns,8120000
193,Trey Lyles,Sacramento Kings,8000000
194,Jock Landale,Houston Rockets,8000000
195,Jeff Green,Houston Rockets,8000000
196,Kevon Looney,Golden State Warriors,8000000
197,Kelly Oubre Jr.,Philadelphia 76ers,7983000
198,Jaden Ivey,Detroit Pistons,7977240
199,KJ Martin,Utah Jazz,7975000
200,Vasilije Micic,Phoenix Suns,7723000
201,Simone Fontecchio,Detroit Pistons,7692308
202,Jonathan Kuminga,Golden State Warriors,7636154
203,Anthony Black,Orlando Magic,7607760
204,Jae'Sean Tate,Houston Rockets,7565217
205,Tidjane Salaun,Charlotte Hornets,7488720
206,Bennedict Mathurin,Indiana Pacers,7245720
207,Max Christie,Dallas Mavericks,7142857
208,Franz Wagner,Orlando Magic,7007092
209,Ayo Dosunmu,Chicago Bulls,7000000
210,Bilal Coulibaly,Washington Wizards,6945240
211,Nassir Little,Miami Heat,6750000
212,Gary Harris,Orlando Magic,6730769
213,Payton Pritchard,Boston Celtics,6696429
214,Kenrich Williams,Oklahoma City Thunder,6669000
215,Sasha Vezenkov,Toronto Raptors,6658536
216,Shaedon Sharpe,Portland Trail Blazers,6614160
217,Donovan Clingan,Portland Trail Blazers,6586440
218,Jevon Carter,Chicago Bulls,6500000
219,Davion Mitchell,Miami Heat,6451230
220,Saddiq Bey,New Orleans Pelicans,6440678
221,Jarace Walker,Indiana Pacers,6362520
222,Rob Dillingham,Minnesota Timberwolves,6262920
223,Dean Wade,Cleveland Cavaliers,6166667
224,John Konchar,Memphis Grizzlies,6165000
225,Ziaire Williams,Brooklyn Nets,6133005
226,Dyson Daniels,Atlanta Hawks,6059520
227,Precious Achiuwa,New York Knicks,6000000
228,Malik Beasley,Detroit Pistons,6000000
229,Chris Duarte,Chicago Bulls,5893768
230,Taylor Hendricks,Utah Jazz,5848680
231,Moses Moody,Golden State Warriors,5803269
232,Zach Edey,Memphis Grizzlies,5756880
233,Corey Kispert,Washington Wizards,5705888
234,Jeremy Sochan,San Antonio Spurs,5570040
235,Cason Wallace,Oklahoma City Thunder,5555880
236,Cody Williams,Utah Jazz,5485080
237,Alperen Sengun,Houston Rockets,5424654
238,Johnny Davis,Washington Wizards,5291160
239,Jett Howard,Orlando Magic,5278320
240,Haywood Highsmith,Miami Heat,5200000
241,Matas Buzelis,Chicago Bulls,5195520
242,Kris Dunn,LA Clippers,5168000
243,Dario Saric,Denver Nuggets,5168000
244,Trey Murphy III,New Orleans Pelicans,5159855
245,Ousmane Dieng,Oklahoma City Thunder,5027040
246,Dereck Lively II,Dallas Mavericks,5014560
247,Nick Richards,Phoenix Suns,5000000
248,Andre Drummond,Philadelphia 76ers,5000000
249,Drew Eubanks,LA Clippers,5000000
250,Nikola Topic,Oklahoma City Thunder,4935960
251,Tre Mann,Charlotte Hornets,4908189
252,Jalen Williams,Oklahoma City Thunder,4775760
253,Gradey Dick,Toronto Raptors,4763760
254,Jalen McDaniels,Washington Wizards,4741800
255,Miles McBride,New York Knicks,4710144
256,Devin Carter,Sacramento Kings,4702800
257,Nicolas Batum,LA Clippers,4668000
258,Aaron Holiday,Houston Rockets,4668000
259,Jalen Duren,Detroit Pistons,4536840
260,Jordan Hawkins,New Orleans Pelicans,4525680
